env,seed,lam,lam_min_hat,lam_star,lam_over_lam_min,a_decoy,action_chosen,is_safe_action,achieved_return_irr_twin
Env4_MiniGrid,0,1.3,0.08956520892076515,0.09,14.514564479496267,forward,left,True,1.0404900000000001
Env4_MiniGrid,0,1.35,0.08956520892076515,0.09,15.072816959476892,forward,left,True,1.0404900000000001
Env4_MiniGrid,0,1.4000000000000001,0.08956520892076515,0.09,15.63106943945752,forward,left,True,1.0404900000000001
Env4_MiniGrid,0,1.4500000000000002,0.08956520892076515,0.09,16.189321919438147,forward,left,True,1.0404900000000001
Env4_MiniGrid,0,1.5,0.08956520892076515,0.09,16.74757439941877,forward,left,True,1.0404900000000001
Env4_MiniGrid,1,0.0,0.08956520892076515,0.09,0.0,forward,forward,False,0.5
Env4_MiniGrid,1,0.05,0.08956520892076515,0.09,0.5582524799806257,forward,forward,False,0.5
Env4_MiniGrid,1,0.1,0.08956520892076515,0.09,1.1165049599612513,forward,forward,False,0.5
Env4_MiniGrid,1,0.15000000000000002,0.08956520892076515,0.09,1.6747574399418772,forward,left,True,1.0404900000000001
Env4_MiniGrid,1,0.2,0.08956520892076515,0.09,2.2330099199225026,forward,left,True,1.0404900000000001
Env4_MiniGrid,1,0.25,0.08956520892076515,0.09,2.791262399903128,forward,left,True,1.0404900000000001
Env4_MiniGrid,1,0.30000000000000004,0.08956520892076515,0.09,3.3495148798837544,forward,left,True,1.0404900000000001
Env4_MiniGrid,1,0.35000000000000003,0.08956520892076515,0.09,3.90776735986438,forward,left,True,1.0404900000000001
Env4_MiniGrid,1,0.4,0.08956520892076515,0.09,4.466019839845005,forward,left,True,1.0404900000000001
